,Month,DayOfWeek,Time,CarrierDelay
3141358,6,7,13,39.0
3167027,6,1,7,12.0
3577292,6,7,8,124.0
5989921,11,2,12,19.0
375018,1,4,14,38.0
1220561,3,7,20,18.0
3016134,6,1,20,27.0
6318546,11,3,14,16.0
1249418,3,2,13,3.0
1777606,3,5,14,21.0
3840006,7,1,13,43.0
3381064,6,3,10,68.0
3709923,7,7,9,112.0
401346,1,2,10,2.0
6813285,12,5,12,7.0
3071554,6,3,21,41.0
557602,1,1,20,2.0
6292696,11,4,18,36.0
778099,2,6,7,20.0
6317555,11,4,8,162.0
1744764,3,5,10,11.0
6437150,11,7,18,49.0
2343707,4,5,17,12.0
6984845,12,6,11,63.0
1411009,3,7,6,7.0
6240503,11,7,12,169.0
4230963,7,5,13,11.0
202590,1,2,5,96.0
850811,2,7,11,98.0
895301,2,1,13,17.0
2042598,4,5,10,122.0
6170414,11,7,18,56.0
585206,1,2,20,104.0
5086782,9,5,15,3.0
803022,2,1,21,20.0
3661639,7,7,18,3.0
4478309,8,1,11,22.0
3662107,7,7,11,11.0
4729585,8,6,18,35.0
6041250,11,7,15,51.0
5207149,9,6,8,17.0
2343944,4,4,17,15.0
5477035,10,5,18,1.0
782106,2,2,7,48.0
6315944,11,2,8,17.0
5293773,9,3,9,7.0
4982318,9,1,18,25.0
10853,1,7,19,2.0
2460269,5,6,12,9.0
1500691,3,1,15,16.0
1827183,4,1,13,42.0
2593551,5,6,8,16.0
2972634,5,2,10,4.0
1793372,4,5,19,9.0
2274127,4,2,9,80.0
921405,2,5,11,64.0
5758672,10,5,9,616.0
6530586,12,2,19,20.0
5912756,10,4,8,51.0
2731042,5,2,15,15.0
6054001,11,1,17,19.0
5136197,9,6,15,75.0
5710439,10,1,12,1.0
6752200,12,5,11,4.0
3928648,7,7,18,144.0
4579566,8,1,9,35.0
6795584,12,3,18,47.0
347358,1,6,15,5.0
4653568,8,5,18,17.0
1844802,4,6,21,5.0
3339940,6,3,8,1.0
5872949,10,3,0,18.0
1921179,4,5,10,43.0
5437480,10,7,17,9.0
4468252,8,2,13,13.0
6666768,12,3,18,23.0
3795361,7,5,21,7.0
5645451,10,4,18,72.0
641082,2,3,17,9.0
2133991,4,5,10,71.0
3151948,6,1,7,15.0
6390145,11,4,16,13.0
6169878,11,6,16,24.0
1461340,3,3,19,4.0
5255387,9,3,19,46.0
1205623,3,3,17,5.0
6615327,12,7,16,15.0
1228146,3,3,16,3.0
3269075,6,4,9,19.0
599142,1,4,16,49.0
597805,1,3,8,13.0
5928825,10,7,19,18.0
5368857,9,2,10,64.0
4212754,7,5,6,19.0
5983767,11,7,11,1.0
1033397,2,6,13,68.0
747242,2,5,22,58.0
1943782,4,4,17,29.0
704360,2,4,6,25.0
1230769,3,3,20,4.0
579526,1,3,18,25.0
1126963,2,1,21,86.0
1935224,4,4,20,16.0
998513,2,1,22,28.0
3771644,7,7,12,10.0
6877891,12,3,18,54.0
1022045,2,7,11,11.0
681377,2,2,17,1.0
2682615,5,5,10,102.0
5157313,9,3,21,10.0
422181,1,1,13,6.0
252831,1,2,10,7.0
2009533,4,2,18,27.0
1013387,2,2,21,3.0
2883920,5,7,11,58.0
1801079,4,7,19,12.0
3421846,6,4,8,6.0
1207228,3,3,21,12.0
6359436,11,7,21,6.0
2453243,5,4,18,3.0
4136799,7,2,15,25.0
1088438,2,6,10,10.0
1447780,3,7,17,26.0
3868298,7,2,10,30.0
1299071,3,1,17,51.0
2295954,4,7,15,73.0
3499154,6,1,13,23.0
4525467,8,1,15,49.0
2587841,5,2,14,4.0
2215016,4,6,6,6.0
6828643,12,5,16,15.0
3515643,6,7,17,23.0
6027153,11,7,19,6.0
2230585,4,4,8,29.0
6544500,12,7,21,16.0
4757146,8,7,22,19.0
3621553,7,2,15,7.0
3558733,6,7,10,20.0
2301419,4,4,16,75.0
1593999,3,7,18,4.0
6469357,12,4,14,4.0
597234,1,2,9,8.0
2451642,5,4,19,4.0
2557878,5,4,9,13.0
1739897,3,4,7,23.0
1187483,3,4,21,27.0
5378690,9,3,14,27.0
4006464,7,7,10,32.0
6978040,12,1,10,15.0
681550,2,2,20,7.0
4783251,8,4,15,339.0
2453361,5,4,16,9.0
1098441,2,7,15,7.0
1032402,2,2,10,3.0
3439377,6,5,16,17.0
3357831,6,6,7,50.0
5965048,11,1,16,4.0
11747,1,7,19,5.0
609917,2,1,20,12.0
6515870,12,4,18,3.0
2046347,4,4,20,14.0
5975775,11,4,18,16.0
194504,1,3,16,17.0
7005754,12,3,17,5.0
3302561,6,7,20,19.0
1016866,2,5,16,11.0
6763768,12,1,9,19.0
6514635,12,4,15,23.0
5188933,9,4,17,61.0
3748865,7,2,11,44.0
343986,1,5,17,8.0
417461,1,2,15,75.0
3551593,6,4,13,9.0
6479999,12,7,8,29.0
6866680,12,5,18,21.0
4727270,8,3,18,81.0
3570761,6,7,20,17.0
6952318,12,4,16,4.0
6538213,12,5,17,3.0
1767166,3,2,9,126.0
3428800,6,3,6,137.0
5861717,10,5,19,27.0
2612292,5,4,13,20.0
3261885,6,5,6,32.0
879695,2,2,11,38.0
2273415,4,4,16,6.0
848776,2,5,12,1.0
2055283,4,4,12,207.0
6862667,12,4,14,52.0
4224196,7,7,12,5.0
2505514,5,3,6,25.0
4974838,9,3,11,144.0
6403560,11,7,15,31.0
2540372,5,6,10,22.0
2970474,5,4,9,4.0
290926,1,1,17,208.0
4765178,8,5,13,14.0
819060,2,5,12,36.0
821563,2,7,12,208.0
3770074,7,3,17,29.0
5398790,10,2,19,12.0
39696,1,2,20,41.0
6760240,12,1,9,7.0
3471344,6,5,18,62.0
5429247,10,4,15,6.0
6198643,11,7,11,8.0
1015511,2,1,17,2.0
6527337,12,1,13,9.0
6287332,11,5,15,2.0
5746854,10,1,6,20.0
6787418,12,3,17,6.0
1445377,3,5,15,6.0
4144243,7,1,7,31.0
6071652,11,7,15,272.0
3869870,7,3,9,140.0
5019752,9,4,12,59.0
366665,1,6,11,6.0
1665640,3,7,17,22.0
5097005,9,7,15,10.0
6498280,12,6,11,30.0
3597678,6,6,21,22.0
742396,2,5,18,132.0
3733134,7,4,10,30.0
3730552,7,1,22,12.0
1430826,3,3,16,36.0
6352098,11,2,17,8.0
1065768,2,3,15,111.0
4017369,7,3,16,65.0
3291497,6,7,18,40.0
6521154,12,6,10,11.0
6971062,12,3,19,30.0
2661625,5,3,17,18.0
4976217,9,5,22,63.0
525940,1,6,12,7.0
5593958,10,7,10,27.0
3039001,6,7,11,3.0
688894,2,4,9,13.0
4566809,8,4,19,88.0
3731223,7,7,20,151.0
2849575,5,6,14,113.0
1680496,3,6,16,25.0
4363380,8,4,12,5.0
4160055,7,3,19,16.0
2539872,5,6,9,122.0
833463,2,2,7,27.0
5508953,10,4,14,66.0
4720553,8,5,12,110.0
1569960,3,3,11,2.0
991480,2,4,6,125.0
6547800,12,1,14,11.0
499810,1,3,17,6.0
3901375,7,4,11,2.0
6204279,11,6,13,53.0
326570,1,1,20,38.0
4200990,7,6,13,54.0
3579401,6,2,20,3.0
6809807,12,4,13,30.0
78452,1,7,11,32.0
5614057,10,3,7,16.0
231938,1,2,20,71.0
4284457,8,1,12,8.0
487637,1,4,18,34.0
4597455,8,7,21,9.0
4168582,7,3,17,9.0
4628637,8,7,18,5.0
753848,2,1,10,50.0
2169438,4,7,13,46.0
1693833,3,3,17,20.0
3515840,6,3,6,93.0
925484,2,3,6,77.0
5403642,10,3,10,4.0
4772527,8,5,18,5.0
850759,2,7,23,10.0
909649,2,2,10,41.0
1840569,4,5,16,4.0
1457463,3,7,7,1.0
1208237,3,4,21,3.0
3752006,7,7,20,37.0
1267814,3,7,11,27.0
4489174,8,4,11,13.0
5703625,10,6,10,16.0
4624862,8,7,14,187.0
3492634,6,4,17,20.0
1063134,2,7,16,13.0
3739951,7,4,21,27.0
2440697,5,7,13,2.0
6720289,12,2,15,6.0
4006525,7,6,17,20.0
1886058,4,6,10,3.0
2353140,4,1,21,16.0
5864115,10,6,10,22.0
1625572,3,1,22,15.0
2773000,5,5,6,539.0
1538869,3,6,11,23.0
6851025,12,6,6,19.0
4800239,8,5,18,24.0
1764544,3,5,14,10.0
170984,1,3,11,21.0
1816348,4,4,18,1.0
5503354,10,3,16,54.0
5489122,10,7,18,14.0
3148518,6,1,9,15.0
2012288,4,3,16,26.0
1511773,3,5,21,1.0
5199359,9,3,8,20.0
5011240,9,5,16,34.0
1101378,2,1,21,10.0
2299392,4,5,9,6.0
5337501,9,7,18,17.0
1814577,4,4,14,8.0
4176338,7,3,13,245.0
6725681,12,7,19,35.0
6179429,11,7,11,299.0
2868244,5,6,8,192.0
1017867,2,5,11,3.0
4428055,8,5,12,4.0
576245,1,2,20,7.0
3593305,6,3,17,74.0
6230254,11,3,21,5.0
5774910,10,3,8,38.0
6530058,12,2,18,38.0
3213043,6,1,11,8.0
1339112,3,4,12,138.0
341348,1,1,7,101.0
298609,1,3,18,7.0
375294,1,2,8,15.0
3599230,6,7,23,1.0
6507558,12,2,16,33.0
1480787,3,7,15,3.0
2763462,5,5,12,22.0
389794,1,7,10,66.0
3374199,6,5,14,21.0
1049393,2,6,17,23.0
789538,2,6,15,16.0
1245698,3,1,17,7.0
3923132,7,3,15,5.0
1400859,3,3,23,15.0
4325166,8,6,16,132.0
1133499,2,5,14,15.0
3238367,6,1,13,7.0
3283793,6,1,16,21.0
2708272,5,5,10,33.0
4125698,7,7,13,7.0
1843729,4,6,9,4.0
3445647,6,1,13,8.0
603749,1,7,12,50.0
1532733,3,7,9,29.0
4414896,8,4,16,30.0
3083463,6,7,20,5.0
3032051,6,5,12,2.0
749586,2,1,11,21.0
4464910,8,6,16,15.0
2924163,5,1,8,70.0
831909,2,3,21,30.0
1816690,4,5,12,7.0
6714767,12,4,15,10.0
2360194,4,7,18,25.0
3533637,6,7,18,80.0
1298883,3,7,18,30.0
6343165,11,6,10,41.0
34029,1,7,17,10.0
915906,2,1,16,15.0
6426751,11,7,4,24.0
4050582,7,5,12,10.0
1773304,3,2,8,90.0
330876,1,5,14,87.0
4033185,7,5,11,93.0
322875,1,4,21,32.0
6540370,12,5,16,11.0
3368431,6,5,7,13.0
443182,1,7,17,32.0
3565808,6,5,8,36.0
2720106,5,5,9,27.0
1572437,3,5,15,5.0
6463873,11,4,20,32.0
845643,2,3,18,22.0
4835725,8,7,22,7.0
1285971,3,7,8,29.0
4050857,7,7,15,36.0
4355071,8,1,15,45.0
6778337,12,6,6,28.0
6545025,12,7,15,15.0
6204647,11,6,15,13.0
3852824,7,7,16,7.0
198180,1,6,11,24.0
6853244,12,3,19,13.0
308121,1,6,13,62.0
5940311,10,2,13,31.0
2255039,4,1,9,186.0
1463542,3,5,20,226.0
2573108,5,7,11,53.0
3506671,6,1,17,11.0
899441,2,5,17,41.0
3766017,7,4,11,19.0
641159,2,3,17,20.0
1823539,4,7,21,8.0
6917029,12,3,8,12.0
233953,1,2,13,49.0
3720490,7,3,14,4.0
6748017,12,1,7,400.0
712416,2,6,17,82.0
6527951,12,1,16,5.0
6090090,11,2,22,14.0
2402868,5,3,15,53.0
85349,1,2,12,3.0
4774965,8,3,11,54.0
831076,2,5,18,119.0
1207094,3,3,19,1.0
655258,2,1,17,7.0
354863,1,3,17,29.0
3094471,6,6,17,17.0
6063415,11,1,12,54.0
771547,2,2,13,60.0
5181456,9,5,8,10.0
3506543,6,7,15,18.0
199394,1,7,13,26.0
1332325,3,7,11,70.0
5136415,9,6,21,20.0
1271262,3,1,21,7.0
1418758,3,3,9,68.0
4186569,7,7,15,19.0
232922,1,1,20,16.0
1657245,3,3,15,113.0
6645916,12,6,17,2.0
3175396,6,6,21,121.0
4211460,7,4,14,3.0
3376800,6,3,9,19.0
4484118,8,6,22,46.0
163621,1,2,13,20.0
5477957,10,5,15,10.0
735605,2,3,6,382.0
3748108,7,1,18,29.0
918049,2,5,10,17.0
2192312,4,7,19,33.0
6625927,12,3,13,2.0
621184,2,4,19,14.0
4175016,7,7,14,67.0
1095086,2,5,16,17.0
1720415,3,6,10,7.0
908626,2,5,16,34.0
4174815,7,7,20,115.0
392903,1,2,6,11.0
174068,1,4,16,24.0
476521,1,2,9,13.0
2238969,4,4,19,30.0
1491577,3,1,7,79.0
6766375,12,1,8,3.0
2842393,5,2,21,20.0
5955882,11,5,21,4.0
5309047,9,1,10,22.0
6680940,12,6,6,17.0
6893079,12,5,8,35.0
2952860,5,1,19,13.0
6485541,12,2,15,3.0
497563,1,7,9,53.0
3706289,7,7,14,34.0
4922675,9,5,8,18.0
732235,2,5,19,41.0
6679080,12,3,17,8.0
1794946,4,5,8,10.0
6556370,12,2,9,186.0
864029,2,3,17,36.0
6521718,12,6,16,78.0
4514408,8,6,18,37.0
3660681,7,6,17,8.0
3469463,6,5,21,51.0
2117879,4,3,15,62.0
300062,1,3,21,47.0
2530745,5,7,13,25.0
4168714,7,3,16,6.0
4799422,8,6,14,6.0
6081367,11,4,10,75.0
1764776,3,5,17,22.0
2115470,4,5,17,32.0
2209777,4,6,11,92.0
3276064,6,2,18,6.0
2780731,5,5,11,18.0
3201716,6,1,12,94.0
929958,2,4,9,7.0
980936,2,2,6,62.0
338897,1,1,11,33.0
2486695,5,5,15,15.0
1232678,3,4,6,85.0
6423506,11,2,16,8.0
4177216,7,4,9,12.0
5315428,9,7,7,14.0
6861277,12,4,18,7.0
325327,1,1,17,36.0
513591,1,1,10,20.0
180390,1,1,16,102.0
1663824,3,5,14,8.0
4541272,8,2,8,42.0
1135689,2,5,8,12.0
428472,1,3,19,29.0
4726252,8,3,8,115.0
342301,1,5,20,20.0
2863951,5,2,16,11.0
176460,1,6,7,41.0
4710872,8,6,7,29.0
1480146,3,7,20,28.0
2657807,5,7,11,8.0
5938579,10,7,20,33.0
5433357,10,5,20,5.0
4765014,8,6,12,4.0
612815,2,1,9,44.0
982348,2,5,9,167.0
413957,1,6,16,14.0
1300462,3,1,12,43.0
407031,1,1,15,49.0
6755375,12,1,20,13.0
3431586,6,3,18,9.0
1420458,3,3,8,73.0
508578,1,6,14,128.0
985826,2,4,5,276.0
3544756,6,5,17,85.0
6601343,12,6,10,22.0
1298890,3,3,10,6.0
4012257,7,4,16,3.0
1133758,2,5,20,5.0
1676750,3,3,18,132.0
1350045,3,1,7,25.0
4355106,8,4,10,2.0
2279104,4,2,10,15.0
2190678,4,7,6,25.0
4025243,7,5,6,15.0
2208432,4,7,7,18.0
3993982,7,5,12,43.0
6399829,11,2,19,12.0
6203986,11,5,21,68.0
6917285,12,5,7,153.0
771641,2,2,17,24.0
825234,2,2,13,35.0
2750226,5,4,22,3.0
5198693,9,7,17,14.0
3536936,6,7,12,33.0
2996701,6,2,10,23.0
4665804,8,4,19,57.0
441276,1,7,11,24.0
4221096,7,4,14,112.0
5849634,10,6,5,55.0
3934980,7,4,10,37.0
6455574,11,4,14,6.0
4323093,8,5,20,2.0
233340,1,2,20,27.0
5321033,9,5,7,49.0
5374929,9,7,13,63.0
2400274,5,2,20,70.0
2302488,4,2,7,73.0
6525666,12,1,8,4.0
1503198,3,4,13,20.0
5872397,10,3,21,11.0
3030917,6,5,16,43.0
506114,1,2,20,91.0
5050775,9,2,14,171.0
1845775,4,6,7,26.0
3433755,6,1,19,15.0
6653139,12,1,8,57.0
6030323,11,7,12,2.0
3317466,6,1,10,4.0
3407904,6,3,19,8.0
3226590,6,5,9,9.0
6781644,12,6,9,16.0
5239430,9,1,16,5.0
4980752,9,5,16,24.0
2181072,4,2,9,22.0
585815,1,7,11,14.0
2219066,4,5,11,3.0
1375746,3,3,17,16.0
1227962,3,2,9,26.0
4558182,8,6,9,20.0
5080653,9,7,16,14.0
1818996,4,5,13,26.0
6157738,11,7,16,42.0
6299656,11,7,18,19.0
772514,2,2,10,27.0
824802,2,2,10,125.0
6056269,11,4,12,160.0
6530654,12,2,8,18.0
1573983,3,7,14,58.0
2384182,4,7,17,16.0
111672,1,6,14,15.0
547321,1,3,23,14.0
1709771,3,7,21,18.0
1525386,3,6,7,18.0
5974655,11,4,14,20.0
3633952,7,5,9,2.0
2360949,4,6,16,49.0
4275175,8,5,20,9.0
6860427,12,1,20,4.0
4221784,7,5,18,22.0
3754093,7,2,12,45.0
1405805,3,7,15,20.0
3067323,6,2,16,2.0
1338792,3,4,11,19.0
6274134,11,7,8,20.0
3587616,6,5,21,45.0
2073712,4,4,18,3.0
5836626,10,7,9,56.0
2148786,4,3,18,6.0
990261,2,5,18,53.0
6028026,11,7,17,21.0
5829514,10,3,12,27.0
6732868,12,1,16,6.0
1709867,3,1,16,53.0
3900145,7,3,11,12.0
2852998,5,6,13,34.0
4361694,8,2,10,27.0
3702136,7,6,8,125.0
3278011,6,4,22,14.0
5349547,9,1,8,262.0
3383881,6,5,15,18.0
4989115,9,7,18,71.0
4547,1,5,16,3.0
3416664,6,2,15,16.0
6859532,12,2,15,6.0
415717,1,1,7,149.0
3596202,6,5,13,32.0
5299192,9,4,13,8.0
3929767,7,1,23,28.0
1567052,3,5,15,6.0
9809,1,7,20,13.0
4662842,8,5,18,108.0
6751423,12,5,17,20.0
128867,1,2,18,13.0
77306,1,7,13,3.0
3463244,6,2,14,79.0
3573899,6,5,15,26.0
1306568,3,1,10,47.0
2308644,4,1,18,60.0
5370611,9,4,20,7.0
3212015,6,7,8,22.0
650212,2,6,12,18.0
3046577,6,3,16,40.0
6714690,12,4,19,8.0
4512607,8,5,17,9.0
6991693,12,4,11,5.0
1198873,3,1,19,12.0
5595889,10,3,12,33.0
2279766,4,4,16,5.0
2897792,5,7,21,5.0
1288238,3,2,16,48.0
1633072,3,4,19,130.0
1497652,3,6,13,66.0
1513405,3,5,16,7.0
5691698,10,5,9,2.0
3395282,6,6,12,17.0
5052100,9,6,16,35.0
802502,2,7,6,33.0
2426763,5,3,12,1.0
1767794,3,5,19,136.0
2191570,4,5,14,50.0
6778264,12,5,13,19.0
517101,1,4,10,7.0
3393260,6,7,5,15.0
4731418,8,3,21,10.0
1089260,2,6,21,13.0
6694084,12,1,7,27.0
6666013,12,5,8,11.0
6847902,12,2,17,40.0
1758805,3,7,15,12.0
3264379,6,7,20,7.0
1934610,4,3,20,41.0
1267195,3,7,12,6.0
3289764,6,6,14,25.0
1002297,2,3,12,130.0
3547067,6,3,17,5.0
4583779,8,5,21,73.0
1652216,3,6,19,89.0
2827434,5,4,19,56.0
1498452,3,6,7,15.0
4764139,8,6,6,43.0
3508540,6,5,20,12.0
2236249,4,6,6,69.0
3243795,6,1,13,87.0
5218710,9,4,19,113.0
1797717,4,6,14,39.0
684516,2,2,11,40.0
6227106,11,1,7,406.0
3147025,6,1,9,28.0
6660010,12,3,7,16.0
3719233,7,7,14,44.0
194166,1,3,10,63.0
1029775,2,5,15,23.0
6905079,12,7,18,10.0
1197275,3,7,16,1.0
1235047,3,5,16,1.0
355508,1,4,8,23.0
1377000,3,3,14,57.0
6951487,12,2,21,26.0
3963373,7,5,14,15.0
4364204,8,5,12,58.0
1063313,2,3,15,14.0
1349133,3,1,8,20.0
3885833,7,5,9,297.0
6933294,12,5,19,7.0
1699566,3,5,18,65.0
4045731,7,5,6,40.0
4582999,8,3,20,150.0
5770058,10,3,13,18.0
1516219,3,6,14,19.0
3163818,6,7,22,69.0
607338,2,7,11,40.0
6835909,12,4,11,125.0
4829126,8,1,15,3.0
1766183,3,5,9,4.0
839591,2,7,16,13.0
1091040,2,1,19,17.0
2487558,5,3,16,21.0
782895,2,2,11,85.0
4767660,8,1,14,45.0
6553407,12,3,10,26.0
6083060,11,1,6,89.0
1707539,3,1,12,62.0
34336,1,7,17,3.0
1735900,3,5,11,4.0
245487,1,6,13,14.0
5025871,9,1,11,64.0
3244922,6,1,14,5.0
712051,2,1,12,16.0
2894007,5,2,16,4.0
2242245,4,2,14,70.0
1901071,4,7,13,92.0
1188611,3,5,20,10.0
4363035,8,3,14,2.0
675623,2,7,9,80.0
3802453,7,2,13,84.0
403339,1,7,8,34.0
3768733,7,3,11,25.0
1196577,3,7,15,20.0
1513732,3,2,19,19.0
5437547,10,7,15,13.0
6563293,12,1,11,13.0
2310455,4,4,18,13.0
5926765,10,5,14,11.0
3032314,6,5,21,2.0
1345186,3,7,16,23.0
4708521,8,3,17,16.0
479119,1,5,18,12.0
4065158,7,4,18,119.0
3868989,7,6,16,6.0
6896334,12,1,19,8.0
2878434,5,2,20,69.0
164640,1,4,10,115.0
1093819,2,2,13,11.0
4529306,8,4,9,31.0
2403275,5,3,19,2.0
6995181,12,1,12,1.0
1419548,3,1,16,8.0
2784865,5,7,19,20.0
569816,1,6,16,14.0
4301489,8,6,19,49.0
1911653,4,1,17,39.0
3228349,6,7,13,6.0
59458,1,1,19,128.0
6541485,12,6,16,12.0
6363282,11,5,8,99.0
4355113,8,6,17,97.0
2876298,5,5,10,26.0
4157863,7,5,12,7.0
3093276,6,6,10,17.0
6583383,12,5,11,26.0
2887901,5,5,15,44.0
3778242,7,5,8,10.0
629943,2,7,20,5.0
5416942,10,1,18,3.0
1579451,3,5,7,126.0
4766070,8,5,16,28.0
2381013,4,4,15,19.0
381837,1,7,15,2.0
2480414,5,5,11,257.0
2463287,5,7,19,3.0
3663641,7,7,14,8.0
878601,2,1,9,9.0
1626726,3,2,6,50.0
4453567,8,7,12,119.0
3210980,6,6,6,10.0
6580548,12,1,12,15.0
3803651,7,3,16,3.0
6529812,12,2,15,15.0
6397347,11,2,20,99.0
3598125,6,7,10,17.0
680539,2,1,16,11.0
4582819,8,3,19,35.0
2377562,4,2,15,2.0
4664952,8,6,9,104.0
511584,1,3,21,16.0
6766592,12,5,16,67.0
1294375,3,1,19,20.0
546719,1,2,11,1.0
5133411,9,2,12,24.0
2160195,4,3,8,42.0
5694489,10,7,10,8.0
191901,1,2,6,16.0
557306,1,1,21,28.0
4754866,8,7,7,48.0
5354270,9,6,9,59.0
6934069,12,5,8,68.0
3952274,7,2,21,53.0
1045330,2,4,19,21.0
3451658,6,7,20,40.0
1749362,3,1,18,7.0
2967959,5,5,13,6.0
3059628,6,7,16,5.0
1511065,3,7,15,75.0
491747,1,4,11,5.0
2360379,4,2,16,1.0
4865317,9,2,17,7.0
3939443,7,1,16,18.0
4200015,7,2,20,5.0
3441680,6,6,15,2.0
2233706,4,6,6,31.0
5788147,10,6,6,32.0
6547761,12,1,11,10.0
4763261,8,3,15,13.0
1680753,3,3,7,41.0
1266222,3,7,13,7.0
1658839,3,1,14,106.0
5491778,10,3,18,6.0
4127875,7,2,12,28.0
3588056,6,5,16,8.0
1076146,2,5,18,21.0
6612828,12,1,15,68.0
134527,1,2,16,34.0
4843871,8,6,11,17.0
1614476,3,1,19,1.0
628300,2,6,10,41.0
4516382,8,1,7,26.0
4168227,7,2,18,118.0
2019873,4,1,21,7.0
3957945,7,1,21,22.0
1129059,2,4,21,9.0
5932851,10,3,14,192.0
3207982,6,5,21,17.0
