,Month,DayOfWeek,Time,LateAircraftDelay
97832,1,7,18,103.0
1076800,2,5,17,5.0
1414318,3,2,14,30.0
1146980,2,5,17,13.0
4129053,7,6,10,4.0
3725732,7,1,16,35.0
2221461,4,6,8,7.0
4179415,7,1,16,107.0
2642523,5,6,12,69.0
2615588,5,1,10,13.0
5899524,10,2,17,13.0
4417151,8,5,21,125.0
4445363,8,2,16,13.0
2282069,4,3,11,16.0
3420462,6,6,17,7.0
2192220,4,3,10,26.0
6571055,12,5,14,86.0
516054,1,4,13,40.0
2994908,5,7,13,73.0
799054,2,5,12,27.0
4022656,7,1,12,5.0
6537951,12,5,18,3.0
3489563,6,4,17,23.0
5869296,10,2,19,46.0
6109981,11,5,18,14.0
5561825,10,3,11,21.0
393260,1,2,5,14.0
9896,1,7,17,58.0
3393872,6,3,17,13.0
2416756,5,7,14,2.0
1993474,4,5,9,118.0
2912274,5,6,13,19.0
765057,2,5,17,18.0
6301419,11,3,17,32.0
1027950,2,5,10,4.0
1471423,3,4,18,33.0
3875441,7,4,9,19.0
444752,1,7,12,119.0
6518554,12,5,16,94.0
4789404,8,1,10,14.0
3409667,6,4,18,2.0
3045566,6,2,12,18.0
4659524,8,2,21,20.0
2430039,5,4,16,22.0
5165546,9,1,20,80.0
2635645,5,5,18,7.0
2283949,4,1,10,7.0
4366838,8,2,8,102.0
5186082,9,7,10,55.0
6302843,11,7,11,5.0
6720046,12,2,14,5.0
1220963,3,7,14,26.0
3367232,6,4,19,34.0
3049699,6,4,19,97.0
4073434,7,3,17,18.0
79759,1,7,16,36.0
3619443,7,1,17,54.0
3814517,7,2,12,43.0
6806568,12,6,16,33.0
5068621,9,1,14,130.0
2376789,4,1,9,77.0
1750772,3,1,10,16.0
4794625,8,3,17,40.0
3254416,6,7,13,47.0
5343846,9,7,17,168.0
6241537,11,6,16,16.0
1394496,3,7,16,31.0
783919,2,3,21,39.0
3222933,6,1,16,33.0
1750862,3,4,12,18.0
6980227,12,5,7,13.0
2868606,5,1,15,23.0
247477,1,6,19,148.0
2412262,5,6,19,23.0
6786722,12,7,18,6.0
886397,2,5,16,124.0
4610159,8,2,16,66.0
545881,1,4,12,31.0
4661653,8,5,18,34.0
668621,2,4,19,59.0
3556307,6,1,19,18.0
1999640,4,2,19,39.0
6407569,11,4,20,27.0
3491534,6,2,16,39.0
2325320,4,3,18,49.0
4456054,8,6,16,21.0
6974080,12,7,19,134.0
3076058,6,4,10,43.0
5210422,9,6,9,13.0
1903358,4,5,13,38.0
6730543,12,1,13,30.0
983673,2,1,14,32.0
998609,2,3,19,7.0
4749789,8,4,9,8.0
996094,2,2,9,19.0
4112731,7,4,20,7.0
766433,2,5,14,64.0
4756955,8,2,18,41.0
786383,2,4,16,60.0
1543190,3,5,16,14.0
2033437,4,5,13,108.0
2183107,4,7,7,3.0
6561307,12,3,11,79.0
3132972,6,3,16,32.0
1013132,2,1,15,13.0
4180053,7,2,23,19.0
6623889,12,2,16,45.0
2922802,5,5,17,35.0
1539570,3,7,12,24.0
2859175,5,4,9,18.0
300554,1,3,14,15.0
3031783,6,5,18,18.0
3823127,7,7,20,45.0
5933890,10,4,18,9.0
6170666,11,7,18,115.0
3644957,7,2,20,139.0
2329842,4,2,18,55.0
3543609,6,3,22,5.0
181662,1,2,6,43.0
3834671,7,4,20,50.0
6667172,12,2,12,68.0
2887184,5,5,15,33.0
1379968,3,5,16,25.0
3686147,7,7,19,38.0
678648,2,1,17,15.0
5656635,10,3,19,20.0
3585815,6,4,17,11.0
4630078,8,5,17,12.0
3078936,6,5,17,34.0
6508150,12,2,11,7.0
1896350,4,4,15,84.0
6743213,12,4,12,8.0
1821842,4,6,18,12.0
6648204,12,6,22,16.0
1609634,3,6,14,35.0
2418988,5,1,21,9.0
1455704,3,6,11,120.0
969190,2,1,13,16.0
6040084,11,1,9,6.0
4063616,7,7,19,30.0
3060888,6,7,15,35.0
1229312,3,3,9,33.0
3551841,6,4,18,59.0
2311105,4,2,16,41.0
4739081,8,7,14,1.0
5203379,9,3,19,31.0
1162318,2,1,17,14.0
6539810,12,5,12,36.0
4012586,7,3,12,35.0
3461922,6,5,10,9.0
3686196,7,7,19,156.0
547531,1,4,19,58.0
6763675,12,6,20,29.0
1188776,3,5,9,26.0
3927715,7,7,15,21.0
1094510,2,1,19,72.0
51103,1,5,19,17.0
3498532,6,5,18,12.0
517680,1,7,18,14.0
2380535,4,4,11,22.0
491048,1,5,14,1.0
6807265,12,7,9,19.0
2206814,4,4,12,40.0
2270805,4,2,15,17.0
621627,2,4,8,30.0
3988358,7,5,10,20.0
6858352,12,7,15,24.0
235287,1,1,11,17.0
3862482,7,3,17,18.0
5049650,9,4,17,26.0
5666387,10,5,21,25.0
4348125,8,3,10,19.0
519194,1,3,19,3.0
78673,1,7,16,44.0
3235617,6,1,14,48.0
1332143,3,7,13,20.0
2750427,5,4,21,45.0
1845175,4,6,17,72.0
4077865,7,4,16,91.0
1216440,3,6,13,34.0
6707598,12,5,13,17.0
5944786,11,2,12,26.0
3219694,6,6,18,58.0
1836596,4,4,20,77.0
6625451,12,2,11,56.0
6534034,12,3,14,28.0
3642598,7,1,19,10.0
4001371,7,7,17,34.0
13095,1,1,8,52.0
6645382,12,6,13,30.0
3681425,7,5,18,20.0
3664384,7,1,15,25.0
1813884,4,4,20,114.0
5125407,9,4,18,28.0
341590,1,4,14,20.0
819823,2,2,12,20.0
3470691,6,4,11,16.0
6292874,11,5,16,15.0
2005824,4,3,14,13.0
3673666,7,3,21,6.0
6940422,12,3,12,47.0
1865218,4,5,17,23.0
4548961,8,1,18,42.0
3534455,6,1,17,28.0
214622,1,2,9,62.0
1122702,2,7,8,10.0
3638714,7,7,16,41.0
2216165,4,7,18,40.0
4320677,8,5,21,43.0
5844220,10,2,17,59.0
1456759,3,7,22,30.0
165578,1,5,19,86.0
2216156,4,4,22,144.0
5437025,10,7,20,25.0
3302858,6,7,18,33.0
1113457,2,2,15,95.0
247794,1,1,15,25.0
6244903,11,2,17,17.0
3515459,6,2,19,7.0
2625048,5,2,14,19.0
3218748,6,4,15,17.0
6733015,12,1,7,57.0
3755327,7,4,18,161.0
4760700,8,5,13,8.0
1052861,2,3,14,26.0
527011,1,1,11,1.0
2294902,4,5,15,18.0
630346,2,7,19,21.0
1641157,3,5,16,81.0
2373481,4,5,8,14.0
4175950,7,2,13,14.0
1261139,3,5,14,23.0
6955063,12,1,9,42.0
1856505,4,3,16,45.0
2450970,5,3,20,29.0
3015157,6,7,19,48.0
998426,2,1,12,48.0
1436524,3,7,10,54.0
4017011,7,4,14,30.0
94927,1,1,18,24.0
3610465,7,5,17,91.0
1261518,3,5,17,59.0
1129903,2,6,14,15.0
1172964,2,2,18,53.0
2260133,4,7,19,14.0
713611,2,3,18,32.0
3324567,6,2,16,13.0
4050735,7,2,21,119.0
1714466,3,5,15,56.0
264936,1,1,11,33.0
2978409,5,7,8,15.0
2216988,4,2,14,57.0
6967126,12,3,22,67.0
639506,2,3,16,196.0
629656,2,7,14,15.0
423598,1,4,18,37.0
6177924,11,6,15,10.0
481567,1,2,12,22.0
2391783,5,7,13,7.0
3490377,6,2,16,31.0
3448236,6,1,19,51.0
6782017,12,1,16,38.0
4603868,8,1,10,27.0
1037073,2,2,22,34.0
5083655,9,3,19,11.0
6970810,12,3,16,4.0
5402942,10,3,16,23.0
3549051,6,6,18,1.0
1965046,4,6,17,24.0
3253313,6,1,10,84.0
3545802,6,7,19,16.0
3904442,7,6,23,2.0
3997574,7,6,15,1.0
3513438,6,2,18,2.0
6270942,11,3,12,15.0
2350978,4,6,19,70.0
3835104,7,2,18,149.0
3545215,6,6,19,392.0
3235212,6,5,20,18.0
2667477,5,7,18,5.0
6978462,12,1,15,44.0
1526427,3,3,6,28.0
973431,2,6,11,40.0
362772,1,7,13,35.0
5410642,10,5,15,26.0
2181488,4,4,17,27.0
1900827,4,3,19,101.0
5641566,10,1,14,80.0
4596567,8,5,20,122.0
6501094,12,7,15,79.0
291221,1,1,14,8.0
403398,1,1,15,13.0
5810148,10,5,18,8.0
1270096,3,1,18,70.0
1998683,4,2,16,30.0
1198887,3,1,11,37.0
1852910,4,1,8,23.0
2877723,5,5,20,4.0
6614846,12,6,14,215.0
2029418,4,1,11,5.0
6893589,12,2,16,15.0
418292,1,1,19,26.0
2052598,4,2,14,15.0
1222000,3,1,18,15.0
510273,1,7,21,155.0
5899570,10,2,16,83.0
4198412,7,4,17,28.0
428792,1,6,12,37.0
3922448,7,3,19,95.0
4241359,8,2,18,24.0
2414121,5,6,7,45.0
1085324,2,4,15,55.0
5960994,11,7,20,33.0
2452926,5,4,13,64.0
3378017,6,1,14,27.0
4138405,7,1,19,59.0
4720354,8,5,21,49.0
6829966,12,3,19,34.0
3001930,6,3,13,33.0
3187123,6,6,13,30.0
6970845,12,3,20,93.0
415421,1,3,20,76.0
885335,2,5,19,58.0
1158605,2,5,16,16.0
2494521,5,1,11,98.0
1197775,3,7,21,75.0
3451202,6,7,16,19.0
2908980,5,5,19,21.0
6769198,12,1,10,28.0
610795,2,1,15,91.0
2937809,5,7,12,16.0
1193397,3,6,17,60.0
3398128,6,1,20,15.0
2623835,5,4,20,43.0
702833,2,4,18,77.0
742891,2,6,16,201.0
1131931,2,2,23,23.0
2097653,4,3,17,50.0
620090,2,4,14,5.0
1480388,3,7,15,72.0
2810353,5,5,10,1.0
3387338,6,1,17,61.0
558779,1,4,14,22.0
6414133,11,5,17,33.0
2203688,4,7,16,80.0
1368579,3,5,16,26.0
4272531,8,4,17,25.0
1603092,3,5,13,43.0
3353796,6,1,17,24.0
4405526,8,5,17,152.0
1222788,3,1,9,20.0
2783774,5,6,10,55.0
4736631,8,1,14,163.0
3433291,6,6,10,27.0
5458765,10,6,19,16.0
5491757,10,3,10,7.0
2515572,5,4,15,18.0
4118993,7,1,15,32.0
2471828,5,3,10,14.0
4732958,8,7,16,206.0
1788224,3,6,20,65.0
3519053,6,6,11,39.0
9097,1,7,21,13.0
1841018,4,5,9,32.0
2806342,5,3,16,18.0
6832710,12,5,10,59.0
262691,1,7,19,32.0
415522,1,4,9,54.0
3059404,6,6,14,56.0
6165519,11,3,16,10.0
5606749,10,6,8,92.0
1919135,4,3,17,75.0
3015569,6,7,18,117.0
3413740,6,4,19,11.0
1875473,4,1,21,47.0
4106257,7,1,21,9.0
3661297,7,7,21,169.0
4762986,8,2,16,17.0
4479866,8,7,19,76.0
3953820,7,5,13,15.0
3813013,7,1,11,32.0
2912631,5,7,16,24.0
4248502,8,4,19,16.0
3868871,7,6,15,2.0
677348,2,7,13,34.0
4464749,8,1,11,8.0
1069640,2,6,11,22.0
2690652,5,5,20,17.0
247928,1,6,15,49.0
1540580,3,1,11,15.0
2282684,4,4,14,6.0
6730831,12,1,20,7.0
6426318,11,7,11,21.0
4877109,9,5,15,8.0
283449,1,2,17,94.0
3671956,7,3,18,18.0
63026,1,2,19,41.0
2324072,4,7,7,9.0
3396247,6,2,10,24.0
59372,1,1,21,47.0
6982192,12,3,17,164.0
4751214,8,3,15,11.0
6892443,12,5,10,26.0
6222711,11,7,18,65.0
672940,2,6,17,83.0
6908539,12,1,17,18.0
237021,1,2,18,10.0
6181113,11,2,9,2.0
6106366,11,4,15,93.0
3484429,6,6,16,31.0
4325438,8,6,10,2.0
2732248,5,1,8,8.0
4794165,8,2,16,46.0
6910487,12,4,11,12.0
942511,2,3,12,35.0
382169,1,2,16,17.0
669717,2,5,12,44.0
2011414,4,6,18,5.0
189400,1,7,13,29.0
6641000,12,1,9,36.0
2450125,5,3,17,3.0
6856145,12,7,21,23.0
1778888,3,6,17,184.0
2468566,5,2,14,89.0
4160004,7,3,20,24.0
608391,2,7,17,180.0
2303857,4,7,13,11.0
1225024,3,2,14,12.0
16740,1,2,13,20.0
5650769,10,2,17,29.0
3485270,6,4,15,40.0
2719852,5,5,12,19.0
6492461,12,4,16,80.0
68440,1,4,16,7.0
6555264,12,3,12,40.0
1484592,3,3,18,48.0
1890659,4,5,15,12.0
1108313,2,3,11,9.0
356368,1,5,21,3.0
3593169,6,3,13,19.0
3008946,6,5,10,4.0
1095334,2,7,16,72.0
1583323,3,1,9,21.0
5040051,9,6,14,29.0
3236451,6,6,9,17.0
3728064,7,3,15,109.0
383143,1,2,10,17.0
3070750,6,3,16,8.0
2219353,4,4,21,55.0
4512650,8,5,11,10.0
1256921,3,4,13,1.0
3401213,6,3,21,61.0
6832491,12,1,19,125.0
2309816,4,7,13,39.0
874627,2,5,18,15.0
4054888,7,3,19,52.0
6517172,12,5,14,18.0
6809723,12,3,17,22.0
1267260,3,7,12,22.0
2157725,4,1,15,19.0
4660537,8,3,18,35.0
2950604,5,1,7,16.0
4006042,7,3,18,32.0
4023418,7,1,12,110.0
2623480,5,5,11,3.0
775749,2,4,10,49.0
5809963,10,4,19,40.0
5173462,9,6,9,46.0
4491722,8,2,13,191.0
5554828,10,6,10,19.0
1230439,3,3,10,20.0
364824,1,3,17,16.0
693074,2,5,11,14.0
5343877,9,7,18,49.0
3430879,6,7,9,33.0
6998734,12,4,10,13.0
3223034,6,5,11,21.0
6965298,12,7,18,1.0
6284018,11,7,13,15.0
985808,2,7,13,80.0
576407,1,7,14,20.0
3099165,6,5,17,37.0
715094,2,3,19,24.0
4009569,7,1,19,16.0
5438265,10,7,21,14.0
994733,2,5,13,103.0
3228748,6,6,19,31.0
1317694,3,6,16,94.0
857258,2,5,14,38.0
6273404,11,7,11,24.0
3541330,6,6,14,2.0
6762312,12,5,18,107.0
3188764,6,7,18,141.0
1643727,3,7,15,115.0
4343659,8,3,17,97.0
3638619,7,7,15,2.0
4806324,8,1,17,73.0
2416226,5,7,9,9.0
3004234,6,4,17,77.0
6536261,12,4,12,24.0
4075522,7,6,10,15.0
1090902,2,2,18,176.0
1786675,3,5,13,19.0
4026940,7,2,19,3.0
6563341,12,1,14,37.0
2884411,5,5,14,14.0
93678,1,4,17,24.0
982721,2,4,9,3.0
4031338,7,6,20,61.0
6236006,11,5,10,21.0
1618854,3,1,22,15.0
1677076,3,7,15,24.0
2803294,5,6,8,98.0
11026,1,7,18,16.0
3513590,6,5,17,54.0
1701911,3,7,18,19.0
3425869,6,4,19,39.0
6838340,12,5,14,14.0
4419052,8,6,19,20.0
4465012,8,5,11,29.0
3411213,6,1,18,17.0
2481832,5,6,14,53.0
6726221,12,7,18,18.0
6504163,12,1,21,13.0
2434313,5,5,14,30.0
78579,1,7,9,7.0
848776,2,5,12,48.0
5775567,10,7,16,13.0
1313952,3,7,16,17.0
636277,2,2,21,65.0
5400571,10,3,16,48.0
3758250,7,1,18,85.0
4270878,8,4,20,17.0
6243389,11,4,16,12.0
2483257,5,6,10,50.0
1257714,3,4,13,7.0
3734032,7,2,16,108.0
170505,1,2,18,54.0
446380,1,1,21,31.0
6717886,12,7,18,15.0
4453213,8,7,16,28.0
1238368,3,5,8,13.0
3010680,6,6,19,11.0
1259342,3,5,13,8.0
4634720,8,3,15,76.0
2774073,5,7,12,16.0
870259,2,1,17,90.0
4537311,8,6,19,39.0
3522238,6,7,17,69.0
5465541,10,2,18,43.0
1358227,3,6,17,51.0
3355430,6,3,18,41.0
5709127,10,3,17,2.0
6873824,12,5,10,32.0
3058941,6,6,14,4.0
6618183,12,2,13,42.0
6433938,11,4,18,26.0
6857677,12,2,12,24.0
3840642,7,4,21,86.0
317699,1,7,15,6.0
977031,2,4,9,12.0
670586,2,5,18,79.0
5377151,9,2,12,8.0
4101209,7,1,14,31.0
1901186,4,5,17,74.0
1988729,4,2,17,18.0
6542755,12,6,19,38.0
3494657,6,4,19,90.0
3479959,6,4,22,116.0
1538370,3,5,21,64.0
4630228,8,5,19,106.0
4478889,8,1,15,132.0
3400870,6,7,19,16.0
5101660,9,4,17,16.0
47075,1,4,19,55.0
6952431,12,5,9,41.0
3369257,6,7,20,51.0
6273270,11,7,10,119.0
2040534,4,1,16,66.0
6541568,12,6,17,56.0
4311430,8,2,17,15.0
1044353,2,1,21,18.0
1863730,4,5,20,5.0
4202427,7,1,0,25.0
2301127,4,2,18,19.0
4226462,7,2,20,43.0
60569,1,1,11,108.0
1420363,3,1,11,63.0
1660147,3,1,23,49.0
3905543,7,7,23,99.0
4179661,7,2,18,21.0
6164266,11,2,16,18.0
4310120,8,2,13,95.0
3923044,7,3,13,16.0
1193680,3,6,12,29.0
3296082,6,7,21,19.0
2796596,5,5,11,5.0
1182380,3,3,14,6.0
2805813,5,5,19,225.0
2451543,5,4,20,13.0
226929,1,4,21,32.0
4470133,8,2,7,66.0
7008526,12,5,16,22.0
607610,2,7,19,56.0
3104393,6,5,16,124.0
433254,1,2,12,22.0
1742114,3,1,18,31.0
1233397,3,4,7,11.0
2644819,5,6,16,31.0
479484,1,6,14,9.0
2757319,5,6,14,25.0
6712118,12,2,18,102.0
3809780,7,6,19,62.0
6161992,11,7,18,2.0
519013,1,1,19,51.0
6558853,12,7,14,26.0
4964460,9,1,18,123.0
3225727,6,5,11,12.0
293002,1,3,20,40.0
3053208,6,5,10,14.0
1136325,2,4,15,70.0
5061304,9,4,13,103.0
6512900,12,3,19,21.0
243013,1,2,8,78.0
1900940,4,4,9,35.0
5316930,9,7,21,14.0
383224,1,7,13,45.0
6517208,12,5,20,129.0
2914581,5,2,11,33.0
1087401,2,7,15,26.0
3682717,7,6,13,22.0
1199311,3,1,8,23.0
6646131,12,6,13,2.0
4497346,8,7,20,68.0
4462593,8,5,21,11.0
1876341,4,1,15,12.0
2022003,4,3,13,23.0
6782644,12,4,15,4.0
6362605,11,5,18,5.0
3670253,7,2,19,17.0
6731557,12,1,14,64.0
1266748,3,7,14,9.0
410533,1,4,12,44.0
33254,1,7,11,9.0
2457798,5,5,19,17.0
6221341,11,6,10,55.0
6801507,12,5,19,31.0
6309127,11,4,17,126.0
2773719,5,5,19,14.0
4884263,9,1,17,69.0
5421124,10,2,11,31.0
5094,1,5,12,14.0
3013387,6,7,20,22.0
5728620,10,5,12,83.0
6532202,12,3,16,61.0
6174954,11,3,17,34.0
2194584,4,4,16,89.0
6968598,12,6,13,47.0
6540163,12,5,20,36.0
3358042,6,6,19,183.0
1358981,3,6,12,16.0
6548183,12,1,19,14.0
3035537,6,6,18,78.0
2515432,5,1,9,7.0
4871933,9,4,17,20.0
2495552,5,5,17,49.0
462716,1,1,21,74.0
1141851,2,7,18,14.0
4713796,8,4,8,144.0
6389811,11,1,12,9.0
6509958,12,3,14,27.0
4142737,7,6,15,17.0
4152190,7,7,17,8.0
1985461,4,2,14,70.0
6335053,11,2,18,17.0
6728859,12,2,9,35.0
2716922,5,4,9,12.0
1609987,3,4,12,10.0
4188703,7,6,18,42.0
2809411,5,2,16,109.0
2539832,5,6,16,24.0
3232769,6,7,20,45.0
506689,1,2,20,53.0
5039322,9,5,8,114.0
397779,1,5,7,11.0
1121841,2,5,12,48.0
866085,2,5,12,7.0
523234,1,4,11,11.0
964262,2,2,9,18.0
3354145,6,1,11,45.0
3028942,6,4,15,18.0
1586437,3,1,7,2.0
981755,2,4,13,21.0
1495447,3,4,12,35.0
3812613,7,1,10,92.0
6748033,12,1,15,60.0
4256238,8,6,16,17.0
2098123,4,4,6,7.0
229027,1,1,13,31.0
556753,1,7,20,31.0
905178,2,2,10,16.0
3217880,6,5,16,60.0
309510,1,1,16,49.0
3078583,6,5,14,10.0
2287731,4,7,16,3.0
1576498,3,2,11,45.0
296223,1,2,18,29.0
849144,2,5,20,2.0
217966,1,4,16,29.0
4478441,8,3,14,14.0
1817086,4,5,14,14.0
4812277,8,7,18,22.0
2328642,4,7,17,2.0
4975585,9,4,19,37.0
6796673,12,5,9,38.0
2341139,4,1,17,279.0
2171561,4,2,18,106.0
5703343,10,1,20,11.0
3933080,7,4,16,8.0
6242619,11,7,16,38.0
6939238,12,1,15,11.0
1578016,3,6,15,76.0
852407,2,1,16,19.0
3491356,6,4,17,22.0
1460768,3,3,17,5.0
3000662,6,3,21,37.0
1776937,3,4,18,19.0
3871501,7,5,19,22.0
5048328,9,1,11,9.0
2448832,5,3,21,17.0
6286370,11,1,10,36.0
6857205,12,2,15,26.0
3227997,6,3,15,11.0
4238177,8,1,9,146.0
3510997,6,4,20,13.0
1079203,2,5,8,21.0
297023,1,2,17,99.0
114860,1,5,21,44.0
1304536,3,7,13,12.0
422989,1,2,14,50.0
609423,2,1,15,80.0
2382083,4,5,11,8.0
4294484,8,4,18,24.0
906025,2,3,18,64.0
3550611,6,2,18,20.0
5083540,9,3,20,16.0
3522060,6,5,19,36.0
4421209,8,1,15,26.0
4472848,8,6,12,32.0
6714363,12,4,22,39.0
702264,2,5,15,14.0
2063249,4,3,18,2.0
4297980,8,5,10,15.0
1726600,3,2,20,51.0
416479,1,5,19,6.0
997896,2,2,8,20.0
5737626,10,1,15,17.0
3287016,6,4,22,103.0
2442450,5,1,14,4.0
6948398,12,1,18,51.0
3807736,7,5,20,32.0
683018,2,2,12,10.0
6278356,11,7,19,27.0
1350701,3,1,20,51.0
6744093,12,5,16,40.0
1087033,2,7,8,20.0
818029,2,5,9,108.0
2890068,5,2,13,15.0
4491611,8,3,12,38.0
355313,1,3,17,64.0
872195,2,3,16,28.0
4550857,8,3,11,18.0
209102,1,6,10,16.0
4037413,7,5,15,18.0
1211563,3,4,11,156.0
6765289,12,3,10,4.0
5974053,11,4,20,27.0
2748776,5,2,13,15.0
2417920,5,1,16,13.0
3008881,6,5,15,14.0
2353387,4,4,12,23.0
5504920,10,5,17,20.0
3213477,6,1,12,69.0
3366976,6,4,21,67.0
1193730,3,6,15,59.0
2810649,5,7,15,22.0
4491587,8,2,17,157.0
5607522,10,4,15,18.0
6737965,12,7,13,28.0
4277405,8,6,16,17.0
6633974,12,2,10,77.0
1723674,3,7,16,71.0
3431859,6,1,18,24.0
622160,2,4,14,15.0
3532930,6,5,14,88.0
3236430,6,6,9,44.0
6832706,12,7,10,32.0
841356,2,5,18,5.0
4274220,8,5,17,57.0
1232834,3,4,20,31.0
4173317,7,4,19,32.0
1122529,2,7,17,17.0
4247142,8,4,18,31.0
976541,2,5,17,15.0
5829214,10,3,17,13.0
1778929,3,6,14,50.0
976321,2,2,9,7.0
2205097,4,2,20,98.0
3243,1,5,18,24.0
1901417,4,7,14,33.0
6000205,11,5,12,9.0
4814637,8,3,12,32.0
3929434,7,1,17,20.0
1102985,2,6,11,20.0
1888244,4,7,16,18.0
6580601,12,1,9,140.0
5061657,9,2,11,36.0
3074134,6,4,16,33.0
277443,1,4,18,43.0
1224840,3,2,17,3.0
4723769,8,3,20,1.0
6648127,12,3,21,9.0
513292,1,7,9,38.0
3471559,6,3,11,85.0
3356975,6,5,21,71.0
1258505,3,5,18,20.0
3531960,6,3,17,22.0
5690174,10,3,18,37.0
6514467,12,4,14,45.0
472910,1,2,15,26.0
4337944,8,2,11,45.0
3498028,6,1,21,26.0
6730403,12,1,20,291.0
2226521,4,3,21,43.0
1758244,3,7,20,88.0
